"id","hip","bf","proper","ra","dec","dist","mag","ci","con"
25134,25197,"16    Cam","",5.391065,57.544395,103.0928,5.24,-0.011,Cam
25139,25202,"8    Lep","",5.39171,-13.927352,505.0505,5.25,-0.219,Lep
25142,25205,"","",5.391963,5.323086,84.7458,6.34,0.123,Ori
25153,25216,"110    Tau","",5.393807,16.699298,124.8439,6.09,0.141,Tau
25160,25223,"","",5.395086,-0.159818,268.8172,5.69,-0.208,Ori
25177,25240,"","",5.397592,-0.866622,55.7103,6.13,0.483,Ori
25184,25247,"29    Ori","",5.399119,-7.808065,48.2393,4.13,0.943,Ori
25215,25278,"111    Tau","",5.407071,17.383534,14.3864,5.0,0.544,Tau
25217,25280,"","",5.407914,-16.975781,68.2594,5.64,-0.001,Lep
25218,25281,"28Eta Ori","",5.407949,-2.397146,299.4012,3.35,-0.24,Ori
25219,25282,"27    Ori","",5.40803,-0.891328,57.2082,5.07,0.961,Ori
25225,25288,"","",5.410028,2.353165,462.963,6.33,-0.145,Ori
25227,25290,"","",5.410674,31.223912,191.9386,6.3,1.251,Aur
25228,25291,"","",5.4107,31.143148,211.4165,5.94,0.034,Aur
25229,25292,"21Sig Aur","",5.410873,37.385346,143.2665,5.02,1.445,Aur
25238,25301,"","",5.412445,36.199945,250.6266,6.49,1.645,Aur
25239,25302,"25Psi1Ori","",5.412452,1.846445,318.4713,4.89,-0.2,Ori
25240,25303,The Pic,"",5.412858,-52.316245,157.2327,6.26,0.067,Pic
25254,25317,"","",5.415438,-44.225684,144.9275,6.09,1.195,Pic
25259,25322,"","",5.416508,73.707198,492.6108,6.48,1.738,Cam
25266,25329,"","",5.417151,-10.328887,133.8688,5.6,1.543,Ori
25273,25336,"24Gam Ori",Bellatrix,5.418851,6.349702,77.3994,1.64,-0.224,Ori
25305,25368,"","",5.426805,-1.491294,225.2252,6.44,-0.162,Ori
25315,25378,"","",5.429727,0.520244,380.2281,6.18,-0.178,Ori
25334,25397,"","",5.433285,-19.695399,45.0248,5.78,0.441,Lep
25337,25401,"","",5.43399,-5.518501,204.0816,6.24,-0.047,Ori
25346,25410,"113    Tau","",5.434923,16.700161,179.5332,6.23,-0.084,Tau
25364,25428,"112Bet Tau",Elnath,5.438198,28.60745,41.0509,1.65,-0.13,Tau
25365,25429,Lam Dor,"",5.438687,-58.91252,140.4494,5.14,0.986,Dor
25389,25453,"","",5.444119,6.868658,92.1659,6.41,-0.023,Ori
25407,25471,"","",5.44689,34.39181,645.1613,5.92,0.138,Aur
25409,25473,"30Psi2Ori","",5.447286,3.095674,348.4321,4.59,-0.199,Ori
25411,25475,"","",5.447578,33.262258,100.8065,6.18,1.152,Aur
25413,25476,"","",5.448422,35.457272,180.1802,6.17,1.453,Aur
25418,25482,"","",5.449948,-68.622544,77.8816,6.02,0.346,Dor
25423,25486,"","",5.451323,-11.900964,27.0416,6.3,0.553,Lep
25424,25488,"","",5.451478,-40.94351,91.9118,5.86,0.239,Col
25428,25492,"","",5.452298,30.208603,440.5286,5.69,0.175,Aur
25435,25499,"115    Tau","",5.452804,17.962216,168.3502,5.4,-0.09,Tau
25438,25502,"","",5.45386,15.25763,130.3781,6.18,0.083,Ori
25441,25505,"","",5.454278,2.3412,124.533,6.36,0.965,Ori
25468,25532,"","",5.460139,-21.375713,119.9041,6.08,1.032,Lep
25475,25539,"114    Tau","",5.460579,21.936965,191.5709,4.88,-0.14,Tau
25477,25541,"24Phi Aur","",5.460802,34.475892,138.8889,5.08,1.4,Aur
25491,25555,"116    Tau","",5.462669,15.874052,130.039,5.52,0.015,Tau
25516,25580,"","",5.466926,33.763703,33.8524,6.41,0.51,Aur
25518,25582,"","",5.467075,1.298251,395.2569,6.41,-0.173,Ori
25519,25583,"117    Tau","",5.467114,17.23913,187.9699,5.77,1.634,Tau
25542,25606,"9Bet Lep",Nihal,5.470756,-20.759441,49.1642,2.81,0.807,Lep
25544,25608,"","",5.470926,-37.230767,87.7963,5.56,0.026,Col
25574,25638,"","",5.476326,13.678979,93.5454,6.35,0.168,Ori
25603,25667,"","",5.482475,-3.307429,244.4988,6.39,-0.007,Ori
25631,25695,"118    Tau","",5.487916,25.150215,130.3781,5.47,-0.042,Tau
25644,25708,"","",5.489913,-3.446394,151.0574,5.8,1.149,Ori
25666,25730,"","",5.494626,29.186464,88.7311,6.2,0.476,Aur
25668,25732,"","",5.494895,-0.802512,110.9878,6.49,0.251,Ori
25673,25737,"31    Ori","",5.49555,-1.092239,155.7632,4.71,1.592,Ori
25687,25751,"","",5.498548,1.78926,438.5965,5.77,-0.192,Ori
25704,25768,"","",5.502632,-47.077655,44.1306,5.46,0.615,Pic
25705,25769,"17    Cam","",5.502835,63.06722,288.1844,5.43,1.704,Cam
25711,25776,"","",5.503869,-84.785104,112.2334,6.18,-0.003,Men
25716,25781,"","",5.504408,-63.927686,113.8952,6.19,0.225,Dor
25721,25785,"","",5.505534,4.204795,166.113,6.21,1.28,Ori
25722,25786,"","",5.505765,-7.434811,729.927,6.33,-0.194,Ori
25726,25790,"","",5.507268,15.360449,77.5795,5.93,0.103,Ori
25742,25806,"","",5.51204,22.462255,109.529,6.29,1.18,Tau
25745,25810,"","",5.512522,39.825916,175.4386,6.38,0.986,Aur
25749,25813,"32    Ori","",5.51307,5.948139,92.8505,4.2,-0.143,Ori
25752,25816,"","",5.513514,41.461994,128.866,5.99,1.112,Aur
25788,25853,"10    Lep","",5.518785,-20.863659,83.2639,5.53,0.012,Lep
25794,25859,Eps Col,"",5.520209,-35.470519,80.7103,3.86,1.13,Col
25796,25861,"33    Ori","",5.520703,3.292133,348.4321,5.46,-0.176,Ori
25804,25869,"","",5.52247,-6.708379,714.2857,6.23,-0.178,Ori
25822,25887,"","",5.526666,-45.925317,168.0672,5.86,1.349,Pic
