pl_name,hostname,hip,hd,snum,sy_dist,ra,dec,st_spectype,st_teff,st_rad,st_mass,st_lum,pl_orbsmax,pl_orbper,pl_orbeccen,pl_rade,pl_bmasse,pl_eqt,method,year
Kepler-6 b,Kepler-6,,,1,587.039,296.83725,48.23997,,5647,1.391,1.209,,0.04852,3.2347,,14.617,212.31,1460,Transit,2009
Kepler-491 b,Kepler-491,,,1,630.785,287.13058,42.35015,,5582,1.03,1.04,,,4.22538,,8.92,,,Transit,2016
Kepler-257 b,Kepler-257,,,1,780.256,297.316,46.02326,,5180,1.037,,,0.034,2.38267,,2.61,,,Transit,2014
Kepler-216 b,Kepler-216,,,1,1187.47,293.72807,46.12911,,6091,1.26,,,0.079,7.69364,,2.35,,,Transit,2014
Kepler-32 c,Kepler-32,,,1,323.847,297.84231,46.57436,,3900,0.53,0.58,,0.09,8.7522,,2,158.9,,Transit,2011
Kepler-259 c,Kepler-259,,,1,1002.14,288.21197,46.61505,,5938,0.898,,,0.217,36.92493,,2.7,,,Transit,2014
Kepler-148 c,Kepler-148,,,1,791.163,289.78616,46.85882,,5272,0.851,,,0.05,4.18004,,3.6,,,Transit,2014
Kepler-222 d,Kepler-222,,,1,758.854,287.90609,46.93775,,5433,0.869,,,0.18,28.08191,,3.69,,,Transit,2014
Kepler-29 c,Kepler-29,,,1,832.532,298.34838,47.4913,,5378,0.732,0.761,,,13.28613,0,2.34,4.5,,Transit,2011
Kepler-179 b,Kepler-179,,,1,605.68,298.66362,47.76193,,5302,0.759,,,0.036,2.73593,,1.64,,,Transit,2014
Kepler-165 c,Kepler-165,,,1,560.885,280.69092,47.80967,,5211,0.77,,,0.11,15.31299,,2.23,,,Transit,2014
Kepler-228 c,Kepler-228,,,1,1644.61,296.28609,48.22463,,6043,1.014,,,0.052,4.13444,,2.7,,,Transit,2014
Kepler-20 c,Kepler-20,,,2,282.563,287.69799,42.33858,,5495,0.916,0.929,,0.0936,10.85408,0.076,2.894,11.1,828,Transit,2011
Kepler-166 d,Kepler-166,,,1,603.53,293.1601,48.88121,,5350,0.83,0.88,,,1.554,,1.73,,,Transit,2016
Kepler-52 b,Kepler-52,,,1,321.542,286.73802,49.97574,,4075,0.52,0.54,,,7.87736,,2.1,135,,Transit,2012
Kepler-197 d,Kepler-197,,,2,330.575,295.22647,50.55923,,6004,1.12,,,0.119,15.67756,,1.22,,,Transit,2014
K2-183 d,K2-183,,,1,329.041,125.00718,14.01946,,5482,0.87,,,,22.62034,,2.3,,,Transit,2018
K2-187 e,K2-187,,,1,330.916,132.52356,23.19247,,5438,0.83,,,,13.60663,,1.9,,,Transit,2018
K2-187 c,K2-187,,,1,330.916,132.52356,23.19247,,5438,0.83,,,,2.87151,,1.4,,,Transit,2018
K2-270 b,K2-270,,,1,280.518,131.26656,13.54973,,4877,0.77,0.85,,0.0247,1.54307,,1.38,,1203,Transit,2018
Kepler-184 d,Kepler-184,,,1,610.326,291.95188,43.07462,,5788,0.873,,,0.179,29.02236,,2.49,,,Transit,2014
Kepler-257 d,Kepler-257,,,1,780.256,297.316,46.02326,,5180,1.037,,,0.16,24.66455,,4.95,,,Transit,2014
K2-280 b,K2-280,,,1,391.537,291.59536,-22.24771,,5500,1.28,1.03,,0.1461,19.89526,0.35,7.5,37.1,787,Transit,2018
K2-381 c,K2-381,,,1,145.701,288.02676,-21.00758,,4473,0.675,0.754,,,16.03466,,2,,,Transit,2022
Kepler-222 c,Kepler-222,,,1,758.854,287.90609,46.93775,,5433,0.869,,,0.091,10.08881,,4.64,,,Transit,2014
HATS-36 b,HATS-36,,,1,856.436,291.4787,-23.20282,,5950,1.1,1.1,,0.0523,4.17519,,12.92,,1203,Transit,2018
Kepler-229 b,Kepler-229,,,1,826.265,286.99948,48.37579,,5120,0.728,,,0.062,6.25297,,2.2,,,Transit,2014
K2-222 b,K2-222,,,1,101.321,16.46252,11.75372,G0,5942,1.072,0.94,0.1271,0.1186,15.38893,0.021,2.275,7.5,803,Transit,2018
K2-214 b,K2-214,,,1,300.64,14.87598,4.22777,,5875,1.236,1.03,,,8.59656,,2.51,,1001,Transit,2018
K2-220 b,K2-220,,,1,233.514,12.77001,9.51677,,5612,1.026,0.91,,,13.68186,,2.37,,761,Transit,2018
K2-216 b,K2-216,,,1,115.461,11.48024,6.34703,K5 V,4503,0.72,0.7,-0.7212,0.028,2.1748,0,1.75,8,1103,Transit,2018
K2-212 b,K2-212,,,1,109.218,18.4241,3.09707,,4349,0.678,0.622,,,9.79565,,2.65,,,Transit,2018
Kepler-166 c,Kepler-166,,,1,603.53,293.1601,48.88121,,5413,0.742,,,0.195,34.26028,,2.38,,,Transit,2014
K2-151 b,K2-151,,,2,69.48,19.30477,9.50127,,3695,0.45,0.47,,0.0373,3.83548,,1.49,,566,Transit,2018
K2-295 b,K2-295,,,1,232.801,19.61014,6.81673,K5 V,4444,0.7,0.74,,0.0451,4.02487,0,10.054,106.473,852,Transit,2018
K2-282 b,K2-282,,,1,496.289,13.43215,7.99529,,5499,1,,,,4.16978,,2.5,,,Transit,2018
K2-283 b,K2-283,,,1,402.915,13.19437,9.69292,,5060,0.82,0.89,,0.0291,1.92104,,3.52,,1186,Transit,2018
K2-281 b,K2-281,,,1,458.139,16.22747,7.26922,,4812,0.76,0.82,,0.0773,8.68772,,8.18,,665,Transit,2018
K2-387 b,K2-387,,,1,266.318,19.44183,11.36849,,3572,0.585,0.57,,,28.73533,,7.322,,,Transit,2022
Kepler-197 b,Kepler-197,,,2,330.575,295.22647,50.55923,,6004,1.12,,,0.06,5.59931,,1.02,,,Transit,2014
K2-156 b,K2-156,,,1,150.21,182.69967,-6.29436,,4460,0.62,,,,0.81314,,1.1,,,Transit,2018
K2-157 b,K2-157,,,1,298.373,183.7515,-5.78202,G9 V,5334,0.86,0.89,,0.00962,0.36526,,0.935,1.14,2432,Transit,2018
K2-158 b,K2-158,,,1,197.299,179.93971,-5.72169,,5503,0.95,0.92,,0.0887,10.06049,,2.64,,794,Transit,2018
K2-244 b,K2-244,,,1,212.902,183.46865,-3.83181,,5677,0.92,0.86,,0.1418,21.06884,,1.75,,638,Transit,2018
Kepler-108 c,Kepler-108,,,2,338.732,294.55899,46.0624,,5854,2.192,,,0.721,190.32349,,8.18,,,Transit,2014
K2-159 b,K2-159,,,1,170.998,180.54089,-3.58091,,5425,0.83,0.9,,0.1013,12.42205,,2.26,,684,Transit,2018
K2-160 b,K2-160,,,1,315.363,184.05452,-3.55309,,5649,0.914,0.983,,,3.70587,,3.178,,,Transit,2018
K2-161 b,K2-161,,,1,916.319,183.79385,-3.49569,,4972,2.568,0.987,,,9.28319,,6.117,,,Transit,2018
K2-162 b,K2-162,,,1,124.433,186.03839,-1.11148,,4842,0.69,0.75,,0.0795,9.45889,,1.44,,631,Transit,2018
K2-163 b,K2-163,,,1,208.529,182.32925,-0.53934,,4937,0.762,0.826,,,6.67312,,2.466,,,Transit,2018
K2-165 b,K2-165,,,1,134.591,184.90049,0.96833,,5185,0.804,0.835,,,2.35499,,1.274,,,Transit,2018
K2-165 c,K2-165,,,1,134.591,184.90049,0.96833,,5185,0.804,0.835,,,4.38274,,1.554,,,Transit,2018
K2-165 d,K2-165,,,1,134.591,184.90049,0.96833,,5185,0.804,0.835,,,14.10136,,2.648,,,Transit,2018
Kepler-477 b,Kepler-477,,,2,,288.06745,42.35531,,5240,0.79,0.87,,,11.11991,,2.07,,,Transit,2016
Kepler-108 b,Kepler-108,,,2,338.732,294.55899,46.0624,,5854,2.192,,,0.292,49.18392,,8.65,,,Transit,2014
EPIC 201595106 b,EPIC 201595106,,,1,232.1,183.72036,1.96817,,5679,0.98,0.958,-0.0491,0.0177,0.87724,0,1.565,7.67,2038,Transit,2021
K2-166 b,K2-166,,,1,476.882,185.18809,2.28238,,5960,1.61,1.16,,0.0858,8.52695,,2.19,,1140,Transit,2018
K2-175 b,K2-175,,,1,247.266,52.50355,17.58411,,5909,1.42,1.095,,,9.52599,,2.038,,,Transit,2018
K2-176 b,K2-176,,,1,247.302,58.26918,17.90695,,5428,0.864,0.939,,,5.32944,,1.491,,,Transit,2018
K2-177 b,K2-177,,,1,492.167,55.22962,20.73609,,6063,1.214,1.211,,,14.15518,,2.116,,,Transit,2018
K2-178 b,K2-178,,,1,214.753,52.88885,22.43482,,5525,0.887,0.951,,,8.74782,,3.558,,,Transit,2018
Kepler-9 d,Kepler-9,,,1,628.257,285.57399,38.40082,,5777,1.02,1.07,,0.0273,1.59285,,1.64,,2026,Transit,2010
K2-183 b,K2-183,,,1,329.041,125.00718,14.01946,,5482,0.87,,,,0.46929,,1.1,,,Transit,2018
K2-185 b,K2-185,,,1,268.357,130.25966,14.69022,,5788,0.94,0.96,,,10.61638,,1.15,,809,Transit,2018
K2-185 c,K2-185,,,1,268.357,130.25966,14.69022,,5788,0.94,0.96,,,52.71349,,2.39,,477,Transit,2018
K2-263 b,K2-263,,,1,162.481,129.68213,15.6806,G9 V,5368,0.85,0.88,-0.2596,0.2573,50.81917,0.08,2.513,15.4,482,Transit,2018
K2-186 b,K2-186,,,1,330.739,135.33505,18.82529,,5784,0.981,1.019,,,41.47422,,3.172,,,Transit,2018
K2-341 b,K2-341,,,1,421.408,130.4972,19.91664,,5817,1.16,0.98,,,36.55255,,3.21,,598,Transit,2021
K2-187 b,K2-187,,,1,330.916,132.52356,23.19247,,5438,0.83,,,,0.77401,,1.2,,,Transit,2018
K2-188 b,K2-188,,,1,446.821,129.8137,23.35744,,5977,1.19,1.06,,0.0289,1.74217,,1.35,,1692,Transit,2018
K2-189 b,K2-189,,,1,242.113,203.62144,-15.03652,,5442,0.879,0.85,,,2.58812,,1.403,,1203,Transit,2018
K2-190 c,K2-190,,,1,160.679,205.36305,-13.16087,,5631,0.912,0.905,,,21.57402,,1.093,,,Transit,2018
K2-195 c,K2-195,,,1,315.014,199.83152,-8.50954,,5712,0.906,0.963,,,28.48279,,2.576,,,Transit,2018
K2-196 b,K2-196,,,1,584.877,200.45625,-8.47171,,6045,1.539,1.162,,,48.32422,,3.6,,,Transit,2018
Kepler-42 b,Kepler-42,,,1,40.059,292.2196,44.61737,M,3068,0.17,0.13,-2.62,0.0116,1.21377,,0.78,,519,Transit,2011
K2-201 b,K2-201,,,1,197.932,293.56071,-23.13128,,5507,0.878,0.956,,,1.05979,,1.4,,,Transit,2018
K2-201 c,K2-201,,,1,197.932,293.56071,-23.13128,,5507,0.878,0.956,,,22.77988,,3.286,,,Transit,2018
K2-202 b,K2-202,,,1,300.397,283.26432,-22.40706,,5491,0.911,0.971,,,3.40516,,2.302,,,Transit,2018
K2-381 b,K2-381,,,1,145.701,288.02676,-21.00758,,4473,0.675,0.754,,,7.93893,,1.075,,,Transit,2022
K2-381 d,K2-381,,,1,145.701,288.02676,-21.00758,,4473,0.675,0.754,,,26.80302,,1.689,,,Transit,2022
K2-382 b,K2-382,,,1,278.412,287.41253,-19.62693,,5452,0.811,0.922,,,21.70016,,2.072,,,Transit,2022
K2-383 b,K2-383,,,1,203.788,282.00876,-18.37958,,5129,0.804,1.061,,,1.86596,,1.564,,,Transit,2022
K2-203 b,K2-203,,,1,166.147,12.77369,-1.19588,,5026,0.765,0.793,-0.4724,0.0824,9.6952,0.23,1.265,,738,Transit,2018
K2-204 b,K2-204,,,1,577.235,17.38251,-0.51775,,5783,1.253,1.076,0.1987,0.0738,7.05591,0.28,3.172,,1148,Transit,2018
K2-205 b,K2-205,,,1,405.301,15.21759,0.42597,,5890,1.078,0.951,,,26.67226,,1.996,,,Transit,2018
K2-206 b,K2-206,,,1,244.443,11.25643,0.59319,,5043,0.758,0.789,,,18.29455,,2.795,,,Transit,2018
K2-207 b,K2-207,,,1,363.064,11.69965,0.64062,,5522,0.928,0.942,,,12.48749,,2.606,,,Transit,2018
K2-208 b,K2-208,,,1,256.887,20.77898,0.88901,,5500,0.872,0.881,-0.2014,0.04878,4.19097,0.37,1.675,,1122,Transit,2018
K2-209 b,K2-209,,,1,76.499,14.69035,1.38281,,4720,0.712,0.745,,,2.08061,,0.869,,,Transit,2018
K2-210 b,K2-210,,,1,176.51,17.64127,1.57841,,5500,0.89,,,,0.57023,,0.86,,,Transit,2018
K2-211 b,K2-211,,,1,272.297,21.10616,1.70491,,5117,0.818,0.851,-0.383,0.01419,0.66956,0.19,1.332,,1873,Transit,2018
K2-213 b,K2-213,,,1,389.702,13.1404,3.50777,,5794,1.204,1.07,,,8.13087,,1.514,,,Transit,2018
K2-215 b,K2-215,,,1,403.964,18.47008,6.12386,,5704,0.974,1,,,8.26965,,2.124,,,Transit,2018
K2-217 b,K2-217,,,1,381.878,11.29837,6.48159,,5967,1.334,1.103,,,14.07452,,3.579,,,Transit,2018
K2-218 b,K2-218,,,1,394.083,12.80961,6.84643,,5757,1.008,1.047,,,8.67989,,2.569,,,Transit,2018
K2-219 b,K2-219,,,1,325.4,12.8453,8.86755,,5753,1.189,1.022,,,3.90129,,1.348,,,Transit,2018
K2-219 c,K2-219,,,1,325.4,12.8453,8.86755,,5753,1.189,1.022,,,6.66767,,1.438,,,Transit,2018
K2-219 d,K2-219,,,1,325.4,12.8453,8.86755,,5753,1.189,1.022,,,11.13728,,2.576,,,Transit,2018
K2-221 b,K2-221,,,1,318.81,16.65503,10.18974,,5716,0.948,1.011,,,2.39909,,1.679,,,Transit,2018
K2-223 b,K2-223,,,1,198.604,185.30618,-10.28209,,5859,1,,,,0.50557,,0.89,,,Transit,2018
K2-223 c,K2-223,,,1,198.604,185.30618,-10.28209,,5859,1,,,,4.56255,,1.5,,,Transit,2018
K2-224 b,K2-224,,,1,275.255,189.70414,-10.06059,,5620,0.84,0.91,,0.0516,4.47904,,1.56,,1002,Transit,2018
K2-224 c,K2-224,,,1,275.255,189.70414,-10.06059,,5620,0.84,0.91,,0.0886,10.09489,,2.41,,764,Transit,2018
K2-225 b,K2-225,,,1,357.778,186.5411,-9.62482,,5520,1.7,1.482,0.382,0.1409,15.8723,0.23,3.609,,923,Transit,2018
K2-226 b,K2-226,,,1,211.265,183.64566,-9.56263,,5288,0.889,0.856,-0.2534,0.04095,3.27109,0.22,1.539,,1187,Transit,2018
K2-227 b,K2-227,,,1,187.234,190.94842,-8.47842,,5673,0.891,0.951,,,13.62183,,1.666,,,Transit,2018
K2-228 b,K2-228,,,1,129.46,187.2947,-6.8342,,4715,0.65,0.71,,0.0338,2.69828,,1.21,,914,Transit,2018
K2-229 b,K2-229,,,1,102.564,186.87292,-6.72185,,5315,0.79,,,,0.58422,,1,,,Transit,2018
K2-229 c,K2-229,,,1,102.564,186.87292,-6.72185,,5315,0.79,0.87,,0.0769,8.32727,,2.03,,750,Transit,2018
K2-230 b,K2-230,,,1,540.773,191.36312,-6.57605,,5945,1.39,1.11,,0.0409,2.86041,,1.96,,1529,Transit,2018
EPIC 229004835 b,EPIC 229004835,,,1,121.971,186.48604,-1.40472,,5868,0.999,0.97,,0.1237,16.14113,0.23,2.332,10.4,804,Transit,2023
K2-259 b,K2-259,,,1,416.457,186.80269,1.56686,,6059,1.13,1.14,,0.1271,15.48043,,2.32,,795,Transit,2018
K2-80 d,K2-80,,,1,200.802,59.03749,13.55903,,5377,0.841,0.913,,,28.86725,,2.552,,,Transit,2018
EPIC 228836835 b,EPIC 228836835,,,1,150.124,189.5749,-5.24462,,3782,0.32,,,,0.72811,,1.1,,,Transit,2021
K2-331 c,K2-331,,,1,211.43,132.73764,13.17027,,5994,1.06,1.1,,,22.99659,,2.72,,673,Transit,2021
K2-333 b,K2-333,,,1,343.99,136.78928,15.20568,,5880,1.22,1.06,,,14.75929,,6.18,,826,Transit,2021
K2-334 b,K2-334,,,1,371.823,136.48943,16.32551,,6502,1.49,1.36,,,5.11398,,5.65,,1380,Transit,2021
K2-342 b,K2-342,,,1,208.357,133.1219,21.23868,,5920,1.09,1.01,,,11.56105,,2.03,,861,Transit,2021
K2-343 c,K2-343,,,1,166.169,134.20217,21.50269,,3804,0.46,0.49,,,7.67697,,2.02,,465,Transit,2021
K2-344 b,K2-344,,,1,75.169,136.36149,21.66859,,4374,0.49,0.51,,,3.35585,,1.59,,722,Transit,2021
K2-348 b,K2-348,,,1,201.856,130.87835,24.42296,,5077,0.85,0.83,,,4.68842,,3.26,,908,Transit,2021
K2-348 c,K2-348,,,1,201.856,130.87835,24.42296,,5077,0.85,0.83,,,12.55017,,2.67,,655,Transit,2021
K2-352 c,K2-352,,,1,176.051,140.44515,18.46963,,5791,0.95,0.98,,,8.23489,,1.92,,885,Transit,2021
K2-352 d,K2-352,,,1,176.051,140.44515,18.46963,,5791,0.95,0.98,,,14.87139,,2.23,,727,Transit,2021
G 9-40 b,G 9-40,,,1,27.928,134.71885,21.0748,,3395,0.303,0.295,-1.9602,0.0418,5.746,0,1.9,4,441,Transit,2019
HD 80653 b,HD 80653,,80653,1,109.86,140.33908,14.36787,,5959,1.22,1.18,,0.01661,0.71957,0,1.613,5.72,2463,Transit,2020
Kepler-21 b,Kepler-21,94112,179070,2,108.522,287.36197,38.71414,,6305,1.902,1.408,,0.0434,2.78582,0,1.639,7.5,2015,Transit,2012
Kepler-8 b,Kepler-8,,,1,1021.87,281.28813,42.4511,,6213,1.486,1.213,,0.0474,3.5225,,15.872,187.52,1680,Transit,2010
TOI-4588 b,TOI-4588,92247,,1,225.181,282.00042,48.54226,,7746,1.575,,,,13.11881,,2.929,,,Transit,2026
KOI-984 b,KOI-984,,,1,252.667,291.04894,36.84008,,5295,0.818,0.928,,0.0504,4.28818,0.12,4.3,,1022,Transit,2022
Kepler-505 b,Kepler-505,,,1,283.41,287.85795,42.54268,,3931,0.53,0.55,,,27.52198,,2.6,,,Transit,2016
Kepler-745 b,Kepler-745,,,1,1780.38,291.49944,37.05926,,5849,1.04,1.04,,,9.93144,,2.16,,,Transit,2016
Kepler-262 c,Kepler-262,,,1,613.129,290.72872,37.25266,,5841,0.881,,,0.152,21.85372,,1.64,,,Transit,2014
Kepler-748 b,Kepler-748,,,1,1705.99,292.26288,37.23697,,5934,1.1,1.07,,,7.40743,,2.52,,,Transit,2016
Kepler-264 b,Kepler-264,,,1,942.173,292.04463,37.37619,,6158,1.55,,,0.249,40.80623,,3.33,,,Transit,2014
HD 73344 b,HD 73344,42403,73344,1,35.26,129.68945,23.68527,F6 V,6253,1.22,1.2,,0.131,15.611,0.03,2.884,10.48,911,Transit,2024
Kepler-1732 b,Kepler-1732,,,1,1289.41,292.29101,37.58077,,5821,1.494,1.043,,,32.3124,,4.099,,,Transit,2021
Kepler-263 b,Kepler-263,,,1,754.747,292.4698,37.56779,,5265,0.785,,,0.12,16.56809,,2.67,,,Transit,2014
Kepler-261 b,Kepler-261,,,1,317.499,291.36473,37.60924,,5098,0.794,,,0.088,10.38123,,2.18,,,Transit,2014
K2-368 d,K2-368,,,1,206.608,332.63576,-11.16612,,4663,0.663,0.746,,,20.20108,,1.948,,,Transit,2022
K2-368 c,K2-368,,,1,206.608,332.63576,-11.16612,,4663,0.663,0.746,,,9.66019,,1.361,,,Transit,2022
Kepler-1733 b,Kepler-1733,,,1,2080.51,291.13846,37.85924,,6320,1.252,1.273,,,9.22958,,3.636,,,Transit,2021
Kepler-754 b,Kepler-754,,,1,1770.27,293.25411,37.84615,,5935,1.08,1.06,,,14.55962,,2.01,,,Transit,2016
K2-373 b,K2-373,,,1,229.567,123.13615,13.6885,,6138,1.486,1.158,,,11.02066,,2.061,,,Transit,2022
Kepler-753 b,Kepler-753,,,1,274.767,291.90324,37.90237,,4346,0.65,0.68,,,5.74773,,1.91,,,Transit,2016
K2-339 b,K2-339,,,1,360.36,130.08254,18.6929,,4857,0.72,0.74,,,19.50743,,1.92,,508,Transit,2021
Kepler-752 b,Kepler-752,,,1,1232.29,292.26815,37.95567,,5373,0.83,0.87,,,18.82747,,2.81,,,Transit,2016
K2-343 b,K2-343,,,1,166.169,134.20217,21.50269,,3804,0.46,0.49,,,2.78717,,1.65,,653,Transit,2021
Kepler-766 b,Kepler-766,,,1,2297.62,293.18451,37.96984,,5992,1.15,1.1,,,6.10028,,3.39,,,Transit,2016
Kepler-771 b,Kepler-771,,,1,1393.85,287.44411,38.08842,,5906,1.05,1.03,,,8.73486,,1.82,,,Transit,2016
EPIC 212624936 c,EPIC 212624936,,,1,561.929,210.63762,-10.02369,,5765,0.93,,,,11.81144,,2.3,,,Transit,2021
Kepler-773 b,Kepler-773,,,1,547.026,290.88462,38.05755,,5850,1.01,1.04,,,3.7491,,1.43,,,Transit,2016
K2-379 b,K2-379,,,1,182.207,283.03176,-27.18073,,4603,0.751,0.856,,,8.77725,,2.181,,,Transit,2022
K2-380 b,K2-380,,,1,249.303,283.43464,-26.53873,,5911,1.32,0.993,,,9.40131,,2.729,,,Transit,2022
Kepler-767 b,Kepler-767,,,1,2251.03,291.57916,38.03581,,5694,0.94,0.96,,,161.52801,,6.64,,,Transit,2016
Kepler-260 b,Kepler-260,,,1,627.365,291.92597,38.01405,,5250,0.862,,,0.075,8.1874,,2.01,,,Transit,2014
Kepler-268 b,Kepler-268,,,1,851.87,291.97616,38.05503,,6081,1.274,,,0.18,25.93414,,2.55,,,Transit,2014
K2-384 f,K2-384,,,1,82.66,20.49984,0.75097,M4 V,3623,0.348,0.33,,,13.62749,,2.222,,,Transit,2022
K2-384 d,K2-384,,,1,82.66,20.49984,0.75097,M4 V,3623,0.348,0.33,,,6.67958,,1.392,,,Transit,2022
K2-384 c,K2-384,,,1,82.66,20.49984,0.75097,M4 V,3623,0.348,0.33,,,4.19477,,1.191,,,Transit,2022
K2-384 e,K2-384,,,1,82.66,20.49984,0.75097,M4 V,3623,0.348,0.33,,,9.71504,,1.345,,,Transit,2022
K2-385 b,K2-385,,,1,420.819,12.61408,5.87126,,4844,0.761,0.927,,,2.38087,,1.539,,,Transit,2022
Kepler-1736 b,Kepler-1736,,,1,1430,289.7767,38.26224,,6085,0.973,0.976,,,37.8103,,3.877,,,Transit,2021
K2-386 b,K2-386,,,1,428.785,18.3,7.01303,,5749,0.97,0.911,,,7.47322,,2.32,,,Transit,2022
Kepler-774 b,Kepler-774,,,1,917.804,291.03186,38.21189,,6403,2.42,1.57,,,11.08957,,3.17,,,Transit,2016
Kepler-772 b,Kepler-772,,,1,1130.21,291.42358,38.21656,,5714,1.11,0.98,,,12.99207,,1.82,,,Transit,2016
K2-268 d,K2-268,,,1,327.783,133.70949,11.84827,,5106,0.78,0.84,,,4.5286,,1.49,,888,Transit,2021
K2-268 f,K2-268,,,1,327.783,133.70949,11.84827,,5106,0.78,0.84,,,26.27057,,2.23,,492,Transit,2021
K2-268 e,K2-268,,,1,327.783,133.70949,11.84827,,5106,0.78,0.84,,,6.13124,,1.33,,801,Transit,2021
K2-393 b,K2-393,,,1,265.914,348.51591,-0.0821,,5678,1.071,0.881,,,10.41318,,2.352,,,Transit,2022
K2-394 b,K2-394,,,1,98.015,71.11,16.51858,,4938,0.631,0.478,,,5.09572,,1.692,,,Transit,2022
Kepler-119 b,Kepler-119,,,1,701.996,295.94639,42.65883,,5595,0.839,,,0.035,2.42208,,3.6,,,Transit,2014
11 UMi b,11 UMi,74793,136726,1,125.321,229.2746,71.82394,,4213,29.79,2.78,,1.53,516.21997,0.08,,4684.814,,Radial Velocity,2009
14 And b,14 And,116076,221345,1,75.439,352.82415,39.23584,K0 III,4888,11.55,1.78,1.8399,0.775,186.76,0,,1131.151,,Radial Velocity,2008
14 Her b,14 Her,79248,145675,1,17.932,242.6021,43.81636,K0,,,0.97,,2.839,,0.368,,2828.673,,Radial Velocity,2002
16 Cyg B b,16 Cyg B,96901,186427,3,21.14,295.46564,50.51682,,5750,1.13,1.08,,1.66,798.5,0.68,,565.737,,Radial Velocity,1996
18 Del b,18 Del,103527,199665,2,76.222,314.60784,10.83914,G6 III,4980,8.8,2.1,1.6337,2.476,982.85,0.024,,2926.246,,Radial Velocity,2008
1RXS J160929.1-210524 b,1RXS J160929.1-210524,,,1,139.135,242.37623,-21.08314,K7 V,4060,,0.85,-0.37,330,,,,3000,1700,Imaging,2008
24 Sex b,24 Sex,50887,90043,1,72.069,155.86849,-0.9024,,5098,4.9,1.54,1.164,1.333,452.8,0.09,,632.46,,Radial Velocity,2010
24 Sex c,24 Sex,50887,90043,1,72.069,155.86849,-0.9024,,5098,4.9,1.54,1.164,2.08,883,0.29,,273.32,,Radial Velocity,2010
2MASS J12073346-3932539 b,2MASS J12073346-3932539,,,1,64.308,181.88909,-39.54844,M8,,,,,,,,15.693,1652.708,1163,Imaging,2004
2MASS J04414489+2301513 b,2MASS J04414489+2301513,,,1,,70.43711,23.03085,M8.5,,,0.019,,15,,,,2383.6,,Imaging,2010
47 UMa b,47 UMa,53721,95128,1,13.797,164.86476,40.43049,,5872,1.213,1.06,0.1978,2.1,1078,0.032,,804.08,,Radial Velocity,1996
47 UMa c,47 UMa,53721,95128,1,13.797,164.86476,40.43049,,5872,1.213,1.06,0.1978,3.6,2391,0.098,,171.621,,Radial Velocity,2001
47 UMa d,47 UMa,53721,95128,1,13.797,164.86476,40.43049,,5872,1.213,1.06,0.1978,11.6,14002,0.16,,521.22,,Radial Velocity,2009
4 UMa b,4 UMa,42527,73108,1,73.46,130.05281,64.32805,K1 III,4415,18.11,1.234,,0.877,270.27,0.453,,2511.48,,Radial Velocity,2006
Kepler-770 b,Kepler-770,,,1,930.457,286.49046,38.37487,,5598,0.92,0.94,,,18.9254,,2.3,,,Transit,2016
51 Peg b,51 Peg,113357,217014,1,15.461,344.36754,20.7691,,5758,1.176,1.03,0.1363,0.0527,4.23079,0.013,,150.009,,Radial Velocity,1995
55 Cnc b,55 Cnc,43587,75732,2,12.585,133.14684,28.32982,G8 V,5198,0.98,1.015,,0.118,14.65155,0.003,,276,,Radial Velocity,1996
55 Cnc c,55 Cnc,43587,75732,2,12.585,133.14684,28.32982,G8 V,5198,0.98,1.015,,0.247,44.3936,0.088,,56.6,,Radial Velocity,2004
55 Cnc d,55 Cnc,43587,75732,2,12.585,133.14684,28.32982,G8 V,5198,0.98,1.015,,5.6,4799,0.091,,1214.105,,Radial Velocity,2002
55 Cnc e,55 Cnc,43587,75732,2,12.585,133.14684,28.32982,,5172,0.943,0.905,,0.01544,0.73655,0.05,1.875,7.99,,Radial Velocity,2004
55 Cnc f,55 Cnc,43587,75732,2,12.585,133.14684,28.32982,G8 V,5198,0.98,1.015,,0.802,260.58,0.063,,48.5,,Radial Velocity,2007
61 Vir b,61 Vir,64924,115617,1,8.503,199.59645,-18.31577,G5 V,5577,0.963,0.942,-0.095,0.0502,4.215,0.12,,5.1,,Radial Velocity,2009
61 Vir c,61 Vir,64924,115617,1,8.503,199.59645,-18.31577,G5 V,5577,0.963,0.942,-0.095,0.2175,38.021,0.14,,18.2,,Radial Velocity,2009
61 Vir d,61 Vir,64924,115617,1,8.503,199.59645,-18.31577,G5 V,5577,0.963,0.942,-0.095,0.476,123.01,0.35,,22.9,,Radial Velocity,2009
6 Lyn b,6 Lyn,31039,45410,1,54.66,97.69603,58.16118,K0 IV,4941,4.94,1.32,1.1186,2.028,919.86,0.042,,597.835,,Radial Velocity,2008
70 Vir b,70 Vir,65721,117176,1,17.901,202.10649,13.77631,,5495,1.89,1.09,,0.481,116.688,0.399,,2357.027,,Radial Velocity,1996
7 CMa b,7 CMa,31592,47205,1,19.81,99.17128,-19.25618,,4826,4.87,1.34,1.0626,1.758,735.1,0.06,,587.986,,Radial Velocity,2011
81 Cet b,81 Cet,12247,16400,1,101.26,39.42436,-3.39636,G5 III,4734,11.21,1.23,1.7603,2.104,1005.57,0.037,,1051.059,,Radial Velocity,2008
AB Pic b,AB Pic,30034,44627,1,50.047,94.80392,-58.05412,K2 V,,,,,260,,,,4290.5,,Imaging,2005
