pl_name,hostname,hip,hd,snum,sy_dist,ra,dec,st_spectype,st_teff,st_rad,st_mass,st_lum,pl_orbsmax,pl_orbper,pl_orbeccen,pl_rade,pl_bmasse,pl_eqt,method,year
HD 14787 b,HD 14787,11130,14787,1,119.137,35.80851,10.8368,,4946,5.01,1.43,,1.7,676.6,0.155,,356.287,,Radial Velocity,2018
HD 18015 b,HD 18015,13467,18015,1,123.801,43.36363,-8.84804,,5603,3.13,1.49,,3.87,2278,0.148,,1010.699,,Radial Velocity,2018
HD 72490 b,HD 72490,41997,72490,1,126.339,128.40283,13.55072,,4934,4.96,1.21,,1.88,858,0.124,,561.923,,Radial Velocity,2018
HD 94834 b,HD 94834,53545,94834,1,98.161,164.31264,24.14294,,4798,4.2,1.11,,2.74,1576,0.14,,400.466,,Radial Velocity,2018
HD 180053 b,HD 180053,94465,180053,1,137.043,288.40084,34.91467,,5131,4.06,1.75,,0.843,213.72,0.081,,697.319,,Radial Velocity,2018
HD 4917 b,HD 4917,3975,4917,1,204.277,12.77626,-12.92766,,4802,5.01,1.32,,1.167,400.5,0.066,,513.295,,Radial Velocity,2018
WASP-161 b,WASP-161,,,1,343.08,126.33782,-11.50099,,6400,1.712,1.39,0.6474,0.0673,5.40604,,12.812,791.397,1557,Transit,2018
WASP-163 b,WASP-163,,,1,261.386,256.53755,-10.41301,,5500,1.015,0.97,-0.0757,0.0266,1.60969,,13.473,594.342,1638,Transit,2018
WASP-170 b,WASP-170,,,1,305.603,135.4163,-20.72037,,5600,0.938,0.93,-0.1135,0.0337,2.34478,,12.285,508.528,1422,Transit,2018
K2-285 b,K2-285,,,1,154.961,349.38435,1.30015,K2 V,4975,0.787,0.83,,0.03817,3.47174,0,2.59,9.68,1089,Transit,2018
K2-285 c,K2-285,,,1,154.961,349.38435,1.30015,K2 V,4975,0.787,0.83,,0.0824,7.13805,0,3.53,15.68,741,Transit,2018
K2-285 d,K2-285,,,1,154.961,349.38435,1.30015,K2 V,4975,0.787,0.83,,0.1178,10.45582,0,2.48,6.5,620,Transit,2018
K2-285 e,K2-285,,,1,154.961,349.38435,1.30015,K2 V,4975,0.787,0.83,,0.18041,14.76289,0,1.95,10.7,501,Transit,2018
K2-286 b,K2-286,,,1,76.149,233.36982,-16.77371,M0 V,3926,0.62,0.64,-1.0458,0.1768,27.359,,2.1,,347,Transit,2018
K2-287 b,K2-287,,,1,158.335,233.07434,-22.35834,,5695,1.07,1.056,,0.1206,14.89329,0.478,9.494,100.116,804,Transit,2018
K2-288 B b,K2-288 B,,,2,65.614,55.44429,18.26849,M3 V,3341,0.32,0.33,-1.93,0.164,31.39346,,1.9,,226,Transit,2018
HATS-60 b,HATS-60,,,1,486.474,341.36403,-14.99177,,5688,1.46,1.097,0.3002,0.04708,3.56083,0.191,12.924,210.403,1528,Transit,2018
HATS-61 b,HATS-61,,,1,679.761,61.6578,-25.34967,,5542,1.664,1.076,0.3692,0.07908,7.81795,0.092,13.395,1080.622,1226,Transit,2018
HATS-62 b,HATS-62,,,1,523.067,312.44931,-24.30351,,5416,0.933,0.896,-0.1733,0.04163,3.27688,0.298,11.825,56.892,1237,Transit,2018
HATS-63 b,HATS-63,,,1,623.232,67.41858,-28.19721,,5627,1.07,0.931,0.012,0.04026,3.05665,0.136,13.529,305.117,1398,Transit,2018
HATS-64 b,HATS-64,,,1,1080.15,144.28761,-29.80044,,6554,2.113,1.564,0.8675,0.06562,4.9089,0.151,18.82,305.117,1793,Transit,2018
HATS-65 b,HATS-65,,,2,493.32,292.93978,-26.7402,,6277,1.31,1.257,0.3766,0.04497,3.10516,0.062,16.825,260.938,1634,Transit,2018
HATS-66 b,HATS-66,,,1,1477.98,101.3948,-33.88169,,6626,1.841,1.411,0.7672,0.04714,3.14144,0.064,15.816,1694.034,1998,Transit,2018
HATS-67 b,HATS-67,,,1,960.109,180.20879,-46.13642,,6594,1.441,1.435,0.5465,0.03032,1.60918,0.057,18.887,460.853,2193,Transit,2018
HATS-68 b,HATS-68,,,1,603.955,15.00608,-58.90472,,6147,1.748,1.351,0.5922,0.05071,3.58622,0.036,13.809,410.001,1741,Transit,2018
HATS-69 b,HATS-69,,,1,414.537,289.29743,-60.89176,,5137,0.878,0.892,-0.3176,0.03211,2.22526,0.519,10.593,183.388,1296,Transit,2018
HD 202696 b,HD 202696,105056,202696,1,188.546,319.22503,27.25828,K0 III-IV,5040,6.43,1.91,1.3692,1.566,517.8,0.011,,634.389,,Radial Velocity,2019
HD 202696 c,HD 202696,105056,202696,1,188.546,319.22503,27.25828,K0 III-IV,5040,6.43,1.91,1.3692,2.342,946.6,0.028,,592.435,,Radial Velocity,2019
K2-290 b,K2-290,,,3,272.909,234.85788,-20.1989,,6302,1.511,1.194,,0.0923,9.21165,0,3.06,10.9,1230,Transit,2019
Kepler-779 b,Kepler-779,,,2,283.155,285.62852,44.31079,,3804,0.44,0.46,,,7.09714,,0.92,,,Transit,2016
K2-290 c,K2-290,,,3,272.909,234.85788,-20.1989,,6302,1.511,1.194,,0.305,48.36685,0,11.276,246,676,Transit,2019
K2-291 b,K2-291,,285181,1,90.056,76.44594,21.5482,,5520,0.899,0.934,-0.1662,0.03261,2.22518,0,1.589,6.49,,Transit,2019
GJ 4276 b,GJ 4276,,,1,21.336,336.32215,59.4125,M4.0,3387,0.407,0.406,-1.7055,0.082,13.352,0.37,,16.57,,Radial Velocity,2019
LHS 3844 b,LHS 3844,,,1,14.885,340.4962,-69.17211,M4.5-M5.0,3080,0.189,0.151,-2.5654,0.00624,0.46293,0,1.286,2.37,816,Transit,2019
HD 202772 A b,HD 202772 A,,202772,2,161.498,319.69959,-26.61637,,6442,2.554,1.721,1.0094,0.05208,3.30888,0.03,18.237,323.549,2181,Transit,2019
K2-292 b,K2-292,,119130,1,114.293,205.37588,-9.94607,G3 V,5725,1.09,1,,0.13,16.9841,0.04,2.63,24.5,795,Transit,2019
HD 20781 d,HD 20781,15526,20781,2,35.971,50.01398,-28.78412,K0 V,5256,,0.7,-0.3098,0.1647,29.158,0.11,,10.61,,Radial Velocity,2019
HD 20781 e,HD 20781,15526,20781,2,35.971,50.01398,-28.78412,K0 V,5256,,0.7,-0.3098,0.3374,85.5073,0.06,,14.03,,Radial Velocity,2019
HD 45184 c,HD 45184,30503,45184,1,21.953,96.18202,-28.78064,G1.5 V,5869,,1.03,0.0531,0.11,13.1354,0.07,,8.81,,Radial Velocity,2019
HATS-70 b,HATS-70,,,1,1458.83,109.10452,-31.24439,,7930,1.881,1.78,1.0792,0.03632,1.88824,0.18,15.513,4100.007,2730,Transit,2019
Kepler-499 b,Kepler-499,,,1,556.726,295.10995,43.9151,,5312,0.83,0.87,,,5.63253,,2.17,,,Transit,2016
